country,year,attack_type,target_industry,financial_loss_in_million,number_of_affected_users,attack_source,security_vulnerability_type,defense_mechanism_used,incident_resolution_time_in_hours,severity_score
Brazil,2022,SQL Injection,Retail,25.85,632061,Nation-state,Zero-day,Antivirus,2,632086.85
Brazil,2015,DDoS,Retail,67.52,224815,Nation-state,Social Engineering,Firewall,32,224882.52
India,2022,DDoS,IT,23.91,169310,Unknown,Weak Passwords,Encryption,36,169333.91
Japan,2023,Man-in-the-Middle,Telecommunications,86.98,635827,Nation-state,Social Engineering,Encryption,72,635913.98
UK,2022,Ransomware,IT,63.67,560021,Unknown,Zero-day,Encryption,43,560084.67
Japan,2021,Man-in-the-Middle,Government,61.03,768506,Nation-state,Zero-day,AI-based Detection,11,768567.03
Australia,2018,Phishing,Healthcare,39.94,755469,Hacker Group,Social Engineering,Antivirus,58,755508.94
India,2022,Ransomware,Retail,74.05,205336,Hacker Group,Social Engineering,AI-based Detection,2,205410.05
France,2020,DDoS,IT,7.52,957779,Nation-state,Social Engineering,Encryption,17,957786.52
UK,2017,Malware,Education,29.47,85644,Hacker Group,Social Engineering,AI-based Detection,3,85673.47
France,2019,Man-in-the-Middle,Telecommunications,75.99,561713,Insider,Unpatched Software,Firewall,31,561788.99
Germany,2017,Phishing,Healthcare,53.57,287762,Insider,Weak Passwords,Encryption,13,287815.57
India,2015,Phishing,Healthcare,76.08,471550,Unknown,Zero-day,VPN,5,471626.08
Japan,2018,SQL Injection,IT,69.19,33209,Insider,Unpatched Software,AI-based Detection,66,33278.19
China,2017,Phishing,Retail,45.83,395251,Unknown,Unpatched Software,Encryption,33,395296.83
Germany,2019,DDoS,IT,14.77,491791,Hacker Group,Zero-day,Encryption,66,491805.77
Australia,2016,Phishing,Healthcare,53.81,279874,Hacker Group,Unpatched Software,AI-based Detection,66,279927.81
France,2019,Malware,IT,71.94,881326,Insider,Unpatched Software,Firewall,43,881397.94
UK,2023,DDoS,IT,68.86,749700,Nation-state,Zero-day,AI-based Detection,35,749768.86
UK,2022,Phishing,Government,97.56,722445,Nation-state,Weak Passwords,Firewall,10,722542.56
USA,2023,Ransomware,Government,84.13,695841,Nation-state,Zero-day,AI-based Detection,21,695925.13
USA,2020,SQL Injection,Government,40.95,803757,Hacker Group,Social Engineering,Firewall,33,803797.95
Japan,2022,DDoS,IT,20.16,174510,Insider,Zero-day,AI-based Detection,60,174530.16
Germany,2022,SQL Injection,Retail,11.51,857660,Hacker Group,Zero-day,VPN,37,857671.51
UK,2020,SQL Injection,Banking,47.67,729265,Unknown,Zero-day,Firewall,42,729312.67
India,2023,Phishing,Retail,38.89,836604,Hacker Group,Unpatched Software,AI-based Detection,44,836642.89
China,2016,Malware,Government,91.69,885843,Insider,Unpatched Software,AI-based Detection,46,885934.69
France,2015,Man-in-the-Middle,Education,17.94,808798,Unknown,Social Engineering,Encryption,60,808815.94
Russia,2018,Man-in-the-Middle,Telecommunications,30.5,401208,Hacker Group,Unpatched Software,VPN,10,401238.5
Japan,2021,Ransomware,Healthcare,77.33,380970,Nation-state,Weak Passwords,Encryption,44,381047.33
USA,2021,Phishing,Healthcare,70.03,248437,Hacker Group,Social Engineering,Encryption,70,248507.03
Australia,2024,SQL Injection,Retail,66.49,709125,Hacker Group,Weak Passwords,AI-based Detection,37,709191.49
Japan,2018,Malware,Education,5.33,656250,Hacker Group,Social Engineering,Firewall,67,656255.33
India,2020,Ransomware,Healthcare,10.46,32616,Unknown,Unpatched Software,Firewall,63,32626.46
Australia,2017,Phishing,Healthcare,39.3,290846,Unknown,Weak Passwords,Firewall,3,290885.3
India,2023,DDoS,Banking,23.83,557428,Insider,Unpatched Software,VPN,38,557451.83
Japan,2015,DDoS,Banking,59.13,182440,Insider,Zero-day,Firewall,8,182499.13
Australia,2021,DDoS,Government,30.24,292383,Insider,Social Engineering,Encryption,71,292413.24
France,2017,DDoS,Government,86.82,99728,Nation-state,Unpatched Software,VPN,44,99814.82
USA,2015,DDoS,IT,66.39,365006,Insider,Weak Passwords,VPN,47,365072.39
Russia,2019,Ransomware,Telecommunications,61.11,605427,Nation-state,Zero-day,Encryption,33,605488.11
USA,2022,Malware,Retail,7.65,864358,Hacker Group,Unpatched Software,VPN,11,864365.65
USA,2016,Ransomware,Retail,9.82,610968,Unknown,Unpatched Software,Antivirus,26,610977.82
China,2016,DDoS,IT,67.28,413150,Hacker Group,Social Engineering,Firewall,27,413217.28
USA,2017,Malware,Education,13.14,681956,Nation-state,Social Engineering,Antivirus,35,681969.14
Australia,2016,Man-in-the-Middle,IT,84.46,94162,Unknown,Weak Passwords,Firewall,15,94246.46
France,2023,Man-in-the-Middle,Retail,9.43,565002,Hacker Group,Unpatched Software,Firewall,72,565011.43
France,2017,Phishing,Retail,90.69,275185,Nation-state,Zero-day,Encryption,20,275275.69
Russia,2021,DDoS,Retail,37.47,476758,Hacker Group,Unpatched Software,AI-based Detection,19,476795.47
USA,2024,SQL Injection,Banking,7.2,312607,Hacker Group,Weak Passwords,Antivirus,24,312614.2
Russia,2017,Phishing,Banking,94.15,963192,Hacker Group,Weak Passwords,VPN,7,963286.15
Australia,2015,Malware,Healthcare,42.15,680874,Unknown,Zero-day,Antivirus,8,680916.15
France,2018,DDoS,Government,15.71,904770,Hacker Group,Social Engineering,Antivirus,4,904785.71
USA,2022,SQL Injection,Government,98.46,429452,Hacker Group,Weak Passwords,Antivirus,6,429550.46
USA,2018,Ransomware,Healthcare,51.71,858128,Hacker Group,Social Engineering,Antivirus,35,858179.71
China,2021,Malware,Education,42.26,615849,Nation-state,Unpatched Software,Encryption,44,615891.26
UK,2019,Phishing,Education,99.45,467349,Nation-state,Zero-day,Firewall,44,467448.45
France,2021,SQL Injection,Retail,63.74,235418,Nation-state,Weak Passwords,Encryption,28,235481.74
Australia,2017,SQL Injection,IT,5.05,823606,Insider,Weak Passwords,Encryption,25,823611.05
China,2020,SQL Injection,IT,89.38,923489,Nation-state,Unpatched Software,Firewall,66,923578.38
USA,2024,Phishing,IT,58.57,630793,Hacker Group,Social Engineering,AI-based Detection,64,630851.57
France,2015,SQL Injection,Education,65.83,691903,Unknown,Zero-day,VPN,54,691968.83
UK,2019,Phishing,Government,79.79,133632,Hacker Group,Weak Passwords,Firewall,8,133711.79
Australia,2017,Phishing,Banking,90.5,42278,Insider,Weak Passwords,AI-based Detection,45,42368.5
Germany,2016,Phishing,IT,2.1,176471,Unknown,Zero-day,VPN,9,176473.1
India,2015,SQL Injection,Telecommunications,63.72,916516,Hacker Group,Social Engineering,Encryption,68,916579.72
Japan,2023,SQL Injection,Government,87.8,510002,Hacker Group,Social Engineering,Firewall,62,510089.8
UK,2015,Malware,IT,82.45,435994,Nation-state,Unpatched Software,Encryption,51,436076.45
India,2016,Ransomware,IT,66.19,537670,Hacker Group,Unpatched Software,Encryption,55,537736.19
Russia,2022,Malware,Banking,39.62,850339,Hacker Group,Social Engineering,Firewall,50,850378.62
Japan,2021,DDoS,Government,35.46,937562,Unknown,Zero-day,Firewall,10,937597.46
France,2020,Malware,Government,10.62,405267,Nation-state,Unpatched Software,AI-based Detection,5,405277.62
China,2022,DDoS,Government,80.76,346279,Unknown,Zero-day,Encryption,59,346359.76
Brazil,2016,DDoS,Telecommunications,10.45,889928,Nation-state,Zero-day,Encryption,63,889938.45
France,2018,SQL Injection,Healthcare,0.95,376206,Unknown,Unpatched Software,Antivirus,44,376206.95
India,2018,Ransomware,IT,27.14,227433,Unknown,Unpatched Software,Antivirus,13,227460.14
Germany,2023,Ransomware,Healthcare,54.79,393779,Nation-state,Weak Passwords,Encryption,39,393833.79
Russia,2022,Ransomware,IT,41.08,529025,Insider,Unpatched Software,AI-based Detection,42,529066.08
Brazil,2024,Man-in-the-Middle,Education,8.94,451311,Unknown,Weak Passwords,Encryption,14,451319.94
India,2017,Ransomware,Education,98.11,677198,Unknown,Social Engineering,VPN,28,677296.11
Russia,2024,Man-in-the-Middle,Healthcare,9.4,480988,Nation-state,Unpatched Software,Encryption,59,480997.4
Australia,2015,Ransomware,Telecommunications,46.39,605536,Nation-state,Unpatched Software,VPN,61,605582.39
Brazil,2018,Ransomware,Banking,30.61,910960,Nation-state,Social Engineering,Antivirus,31,910990.61
China,2018,Ransomware,Banking,43.98,386308,Nation-state,Weak Passwords,Antivirus,3,386351.98
Australia,2017,Man-in-the-Middle,Banking,54.38,100855,Unknown,Social Engineering,VPN,2,100909.38
China,2023,Malware,Education,23.74,317922,Insider,Social Engineering,Antivirus,18,317945.74
USA,2018,DDoS,IT,82.13,220618,Unknown,Weak Passwords,Firewall,59,220700.13
India,2015,Ransomware,Telecommunications,24.7,825941,Hacker Group,Unpatched Software,VPN,54,825965.7
China,2022,Malware,Education,60.9,331234,Unknown,Social Engineering,Antivirus,3,331294.9
China,2020,Man-in-the-Middle,Telecommunications,14.61,855055,Hacker Group,Unpatched Software,Antivirus,59,855069.61
Japan,2022,DDoS,Telecommunications,34.31,305329,Unknown,Unpatched Software,Firewall,40,305363.31
Japan,2020,Phishing,Government,32.39,442923,Nation-state,Social Engineering,Encryption,57,442955.39
UK,2015,Ransomware,Banking,79.3,893277,Unknown,Social Engineering,Firewall,15,893356.3
China,2020,Malware,Healthcare,30.86,240532,Insider,Weak Passwords,Encryption,64,240562.86
USA,2016,DDoS,Healthcare,93.14,947960,Nation-state,Weak Passwords,Firewall,55,948053.14
Brazil,2018,Malware,Healthcare,52.87,437283,Insider,Zero-day,Antivirus,30,437335.87
China,2019,Malware,Healthcare,29.61,761390,Insider,Weak Passwords,Antivirus,7,761419.61
France,2019,Phishing,Retail,25.75,998507,Insider,Weak Passwords,AI-based Detection,15,998532.75
India,2017,DDoS,Retail,82.17,593329,Hacker Group,Unpatched Software,AI-based Detection,62,593411.17
UK,2019,Phishing,Banking,60.07,197590,Insider,Zero-day,Encryption,62,197650.07
Japan,2017,Ransomware,Banking,50.75,53111,Hacker Group,Social Engineering,Antivirus,15,53161.75
Australia,2017,Phishing,Retail,14.88,69641,Hacker Group,Unpatched Software,Firewall,54,69655.88
Germany,2022,DDoS,IT,73.98,953770,Insider,Weak Passwords,Firewall,54,953843.98
Japan,2023,SQL Injection,Retail,42.33,643549,Nation-state,Weak Passwords,VPN,20,643591.33
Brazil,2022,Man-in-the-Middle,Education,77.98,899279,Insider,Zero-day,Firewall,39,899356.98
India,2016,Ransomware,Education,8.55,857887,Unknown,Social Engineering,Firewall,44,857895.55
Russia,2016,Phishing,Government,30.57,503775,Unknown,Zero-day,VPN,71,503805.57
Japan,2015,SQL Injection,IT,36.98,452892,Unknown,Weak Passwords,VPN,17,452928.98
Russia,2018,Ransomware,Healthcare,24.06,327566,Unknown,Unpatched Software,AI-based Detection,6,327590.06
Australia,2018,Ransomware,Education,50.66,851204,Insider,Zero-day,Firewall,3,851254.66
UK,2017,Man-in-the-Middle,Government,79.27,923309,Hacker Group,Unpatched Software,Firewall,29,923388.27
Brazil,2023,Phishing,Banking,71.86,151590,Nation-state,Zero-day,Antivirus,30,151661.86
UK,2022,DDoS,Education,21.01,452432,Nation-state,Unpatched Software,Firewall,8,452453.01
Japan,2015,Ransomware,Retail,95.38,769596,Nation-state,Weak Passwords,VPN,65,769691.38
Germany,2022,Phishing,Banking,14.79,407151,Unknown,Weak Passwords,Antivirus,37,407165.79
Brazil,2023,DDoS,IT,45.97,312555,Nation-state,Social Engineering,AI-based Detection,67,312600.97
Brazil,2019,Man-in-the-Middle,Government,76.39,311908,Unknown,Weak Passwords,Encryption,68,311984.39
China,2018,Malware,Banking,68.55,59979,Insider,Zero-day,Firewall,41,60047.55
Japan,2019,Malware,IT,9.86,233545,Unknown,Zero-day,Antivirus,55,233554.86
France,2020,Man-in-the-Middle,Retail,89.85,722081,Hacker Group,Zero-day,VPN,33,722170.85
Russia,2024,SQL Injection,Healthcare,76.99,873037,Nation-state,Unpatched Software,Antivirus,31,873113.99
India,2022,Malware,IT,12.08,482213,Nation-state,Social Engineering,AI-based Detection,3,482225.08
India,2020,Phishing,Education,39.72,512850,Hacker Group,Zero-day,Antivirus,15,512889.72
China,2023,Man-in-the-Middle,Telecommunications,37.73,849834,Hacker Group,Zero-day,AI-based Detection,56,849871.73
Brazil,2022,Malware,Retail,78.03,660707,Insider,Unpatched Software,Firewall,11,660785.03
USA,2021,Ransomware,Education,6.77,697935,Unknown,Social Engineering,AI-based Detection,16,697941.77
Russia,2019,Malware,IT,71.92,500655,Nation-state,Zero-day,AI-based Detection,8,500726.92
USA,2020,Ransomware,IT,95.79,239343,Nation-state,Zero-day,VPN,63,239438.79
China,2023,Phishing,Retail,90.04,143728,Unknown,Zero-day,AI-based Detection,57,143818.04
USA,2020,Phishing,Retail,99.64,464717,Insider,Weak Passwords,VPN,27,464816.64
Russia,2018,SQL Injection,Education,1.25,351063,Nation-state,Weak Passwords,Firewall,56,351064.25
Australia,2015,DDoS,Government,13.96,479025,Nation-state,Zero-day,Antivirus,54,479038.96
Germany,2021,DDoS,Banking,1.62,823004,Nation-state,Zero-day,Encryption,22,823005.62
Russia,2021,DDoS,Education,18.47,394957,Hacker Group,Weak Passwords,Antivirus,27,394975.47
France,2019,Phishing,Telecommunications,28.88,96640,Unknown,Social Engineering,Antivirus,60,96668.88
Russia,2024,DDoS,Education,19.5,325634,Insider,Weak Passwords,Firewall,5,325653.5
France,2023,SQL Injection,Government,29.63,662667,Hacker Group,Zero-day,VPN,30,662696.63
USA,2024,Phishing,IT,57.24,107681,Unknown,Zero-day,VPN,18,107738.24
Russia,2017,Phishing,Banking,3.2,982243,Insider,Zero-day,Encryption,6,982246.2
Japan,2022,SQL Injection,Government,79.19,950425,Unknown,Social Engineering,Antivirus,54,950504.19
Brazil,2017,Ransomware,Education,80.5,279808,Insider,Social Engineering,Antivirus,60,279888.5
India,2024,SQL Injection,Telecommunications,71.2,190099,Unknown,Zero-day,AI-based Detection,15,190170.2
Brazil,2019,Malware,Government,12.04,713035,Nation-state,Social Engineering,AI-based Detection,59,713047.04
Australia,2016,Malware,Retail,29.05,817347,Nation-state,Weak Passwords,Antivirus,68,817376.05
Germany,2023,Ransomware,Healthcare,28.18,707214,Unknown,Weak Passwords,AI-based Detection,11,707242.18
UK,2016,DDoS,Retail,39.26,668780,Hacker Group,Zero-day,Firewall,33,668819.26
Russia,2015,DDoS,Telecommunications,57.21,609196,Unknown,Social Engineering,VPN,4,609253.21
USA,2021,Man-in-the-Middle,Telecommunications,83.88,980367,Nation-state,Unpatched Software,Firewall,3,980450.88
Russia,2022,Man-in-the-Middle,IT,84.1,919858,Nation-state,Unpatched Software,Encryption,47,919942.1
France,2017,DDoS,Healthcare,39.49,195459,Hacker Group,Weak Passwords,Encryption,14,195498.49
Russia,2015,Man-in-the-Middle,Government,46.76,713342,Unknown,Weak Passwords,Encryption,36,713388.76
UK,2019,DDoS,Banking,80.68,19007,Nation-state,Unpatched Software,VPN,29,19087.68
China,2022,Ransomware,Government,86.56,963091,Insider,Zero-day,VPN,37,963177.56
UK,2017,Malware,Government,66.25,726887,Hacker Group,Social Engineering,Firewall,13,726953.25
Russia,2021,DDoS,IT,78.76,130413,Unknown,Social Engineering,Encryption,66,130491.76
Germany,2017,Malware,Banking,97.68,906914,Hacker Group,Zero-day,AI-based Detection,15,907011.68
China,2020,Ransomware,IT,14.94,557218,Nation-state,Zero-day,Firewall,70,557232.94
Russia,2018,SQL Injection,Banking,59.29,380543,Unknown,Weak Passwords,VPN,26,380602.29
UK,2022,Malware,Retail,39.55,337363,Insider,Social Engineering,VPN,2,337402.55
China,2018,DDoS,IT,14.04,803086,Nation-state,Social Engineering,VPN,23,803100.04
China,2024,Man-in-the-Middle,IT,63.79,195858,Hacker Group,Zero-day,Encryption,1,195921.79
India,2019,Malware,Banking,37.03,358371,Insider,Weak Passwords,AI-based Detection,30,358408.03
Australia,2019,Phishing,Retail,9.12,212267,Insider,Zero-day,Antivirus,14,212276.12
France,2021,Man-in-the-Middle,Healthcare,52.04,757744,Nation-state,Zero-day,Antivirus,43,757796.04
Japan,2017,Ransomware,Retail,59.13,747705,Insider,Unpatched Software,VPN,47,747764.13
USA,2024,Phishing,Telecommunications,64.67,996651,Hacker Group,Weak Passwords,Encryption,69,996715.67
UK,2015,Ransomware,Government,52.78,281905,Insider,Social Engineering,VPN,32,281957.78
Brazil,2019,Man-in-the-Middle,Healthcare,7.44,739981,Unknown,Social Engineering,Antivirus,54,739988.44
France,2016,SQL Injection,Telecommunications,47.19,554448,Hacker Group,Social Engineering,Antivirus,31,554495.19
USA,2016,Ransomware,Healthcare,99.19,745103,Insider,Unpatched Software,Encryption,8,745202.19
India,2015,DDoS,Healthcare,10.94,600279,Insider,Unpatched Software,AI-based Detection,16,600289.94
Russia,2016,Man-in-the-Middle,IT,48.86,973654,Unknown,Unpatched Software,Encryption,23,973702.86
China,2016,DDoS,Telecommunications,80.48,78123,Hacker Group,Social Engineering,Antivirus,50,78203.48
UK,2015,Man-in-the-Middle,Government,69.96,675955,Insider,Zero-day,Antivirus,60,676024.96
China,2016,DDoS,IT,18.96,122866,Insider,Unpatched Software,VPN,46,122884.96
Russia,2018,Ransomware,Education,66.33,177570,Nation-state,Social Engineering,Encryption,72,177636.33
France,2024,Man-in-the-Middle,Retail,60.4,774913,Unknown,Unpatched Software,Antivirus,43,774973.4
China,2024,Phishing,IT,24.92,852327,Unknown,Zero-day,VPN,44,852351.92
Australia,2019,DDoS,IT,32.06,775033,Hacker Group,Zero-day,Antivirus,8,775065.06
China,2022,Phishing,Telecommunications,71.77,823093,Insider,Zero-day,Firewall,36,823164.77
France,2018,Phishing,Government,70.59,947445,Insider,Social Engineering,Encryption,59,947515.59
Japan,2018,DDoS,IT,75.34,972713,Unknown,Unpatched Software,Encryption,71,972788.34
France,2023,Malware,Banking,9.99,116840,Unknown,Zero-day,Firewall,51,116849.99
USA,2021,Ransomware,Telecommunications,91.94,710953,Unknown,Zero-day,Firewall,9,711044.94
Russia,2015,DDoS,IT,66.09,467190,Nation-state,Social Engineering,AI-based Detection,25,467256.09
Germany,2024,Phishing,Healthcare,66.73,540773,Unknown,Unpatched Software,VPN,15,540839.73
Australia,2018,SQL Injection,Banking,40.11,874040,Unknown,Social Engineering,Firewall,6,874080.11
Australia,2022,SQL Injection,Healthcare,60.71,8498,Nation-state,Weak Passwords,VPN,17,8558.71
USA,2016,DDoS,IT,18.48,112881,Hacker Group,Social Engineering,VPN,32,112899.48
Japan,2018,DDoS,IT,9.9,942725,Insider,Zero-day,VPN,56,942734.9
France,2024,Phishing,Education,52.03,168684,Nation-state,Unpatched Software,VPN,27,168736.03
Japan,2018,DDoS,Telecommunications,25.06,559274,Hacker Group,Social Engineering,Firewall,27,559299.06
UK,2016,Phishing,Retail,13.68,144856,Unknown,Unpatched Software,Antivirus,13,144869.68
Japan,2015,Malware,Banking,2.63,418914,Nation-state,Unpatched Software,Firewall,53,418916.63
Brazil,2024,Phishing,Retail,88.47,842945,Hacker Group,Weak Passwords,Firewall,67,843033.47
UK,2022,DDoS,Government,50.04,841198,Unknown,Zero-day,VPN,41,841248.04
Germany,2024,Phishing,Government,19.52,50054,Insider,Unpatched Software,Antivirus,24,50073.52
Brazil,2020,DDoS,Telecommunications,4.52,52302,Unknown,Social Engineering,VPN,58,52306.52
India,2015,Man-in-the-Middle,Banking,97.28,694308,Nation-state,Weak Passwords,VPN,66,694405.28
China,2019,Malware,Telecommunications,62.67,520232,Nation-state,Weak Passwords,Encryption,53,520294.67
Germany,2018,SQL Injection,Retail,46.34,575379,Unknown,Zero-day,AI-based Detection,35,575425.34
